Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Pontiac,Rural,Apr,Female,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Jan,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,1,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
Accura,Urban,Jun,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Apr,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Urban,Mar,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Saturn,Urban,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Jun,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Rural,Nov,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jul,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Jun,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision
Chevrolet,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Nov,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Jun,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
VW,Urban,Jun,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Aug,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
Toyota,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Feb,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,700,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jul,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Honda,Urban,Jan,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Ford,Rural,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Chevrolet,Rural,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Mar,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
VW,Urban,Nov,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Oct,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Mar,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Mar,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
Toyota,Rural,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,500,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils
VW,Urban,Aug,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Jan,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Toyota,Rural,Feb,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Oct,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jun,Female,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1994,Liability
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,under 6 months,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Jun,Female,Single,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,3 to 4,1994,Collision
Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Rural,Sep,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Mazda,Urban,May,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Honda,Urban,Mar,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Mar,Female,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Jul,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Aug,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Honda,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Ford,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Feb,Female,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Nov,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
VW,Urban,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,60000 to 69000,0,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Nov,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,1 to 7,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,3,more than 30,more than 30,none,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
VW,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,60000 to 69000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Feb,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Jul,Male,Married,Third Party,Sedan - Liability,Sport,60000 to 69000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Ford,Rural,May,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Oct,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Jul,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Apr,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Nov,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Mazda,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Honda,Urban,Mar,Female,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jun,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
VW,Urban,Jan,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Dec,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,700,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Mazda,Urban,Jul,Female,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Accura,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Nov,Female,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,500,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Jun,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,Liability
Mazda,Rural,Nov,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,May,Female,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Sep,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Sep,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Oct,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Ford,Urban,May,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Oct,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Mar,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Utility - Collision,Utility,more than 69000,0,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Feb,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Ford,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Dec,Male,Married,Third Party,Sedan - Collision,Sedan,less than 20000,0,400,3,more than 30,more than 30,1,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Sep,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Apr,Female,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,more than 8,1994,All Perils
Pontiac,Urban,Dec,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mercury,Rural,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Toyota,Rural,Jun,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Rural,Jul,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Rural,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Honda,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Honda,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Chevrolet,Urban,Nov,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Aug,Male,Single,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jun,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Mar,Female,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
